Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
MSigDB_Hallmark_2020	Androgen Response	13/100	2.681013e-03	8.400508e-03	0	0	2.650540e+00	1.569533e+01	TNFAIP8;NCOA4;IQGAP2;SAT1;UBE2J1;RPS6KA3;SPCS3;MAF;SELENOP;SMS;PTK2B;SGK1;B2M
MSigDB_Hallmark_2020	Coagulation	14/138	1.658939e-02	4.805685e-02	0	0	2.000654e+00	8.200663e+00	C1QA;ANXA1;SERPINE1;PLEK;GP1BA;MMP9;C2;TF;MEP1A;ADAM9;CTSH;LTA4H;LGMN;CTSB
MSigDB_Hallmark_2020	Cholesterol Homeostasis	9/74	1.738226e-02	4.805685e-02	0	0	2.449704e+00	9.926948e+00	LGALS3;STARD4;FABP5;ANXA5;LPL;GUSB;PNRC1;CXCL16;LGMN
MSigDB_Hallmark_2020	Adipogenesis	18/200	2.261485e-02	5.904987e-02	0	0	1.753740e+00	6.645182e+00	ACAA2;IFNGR1;GPX3;IDH1;TALDO1;LPL;LIPE;FABP4;UCP2;CMPK1;ME1;NABP1;CD36;DLAT;TKT;DRAM2;MGLL;DECR1
MSigDB_Hallmark_2020	Pperoxisome	11/104	2.395833e-02	5.926533e-02	0	0	2.093459e+00	7.811617e+00	ACSL1;PRDX1;IDH1;ALDH1A1;ACSL5;HSD17B4;ACSL4;HSD17B11;SOD2;CLN6;DHRS3
MSigDB_Hallmark_2020	Apoptosis	15/161	2.697288e-02	6.338627e-02	0	0	1.820141e+00	6.576029e+00	GPX1;ANXA1;GPX3;IFNGR1;IL18;SOD2;TNF;SAT1;LGALS3;CASP3;DPYD;HMOX1;CD14;BID;PLCB2
MSigDB_Hallmark_2020	UV Response Up	14/158	4.561449e-02	1.020896e-01	0	0	1.720952e+00	5.313492e+00	LYN;ALAS1;TFRC;GPX3;ARRB2;SOD2;UROD;CASP3;CREG1;CYP1A1;HMOX1;MGAT1;BID;ATP6V1F
MSigDB_Hallmark_2020	Protein Secretion	9/96	7.294806e-02	1.495553e-01	0	0	1.828104e+00	4.785990e+00	GALC;RPS6KA3;CD63;SNX2;TMX1;STX7;M6PR;GLA;CTSC
MSigDB_Hallmark_2020	Apical Junction	16/200	7.318664e-02	1.495553e-01	0	0	1.538859e+00	4.023721e+00	CAP1;CD86;FYB1;SYK;ICAM4;RHOF;MMP9;GNAI2;PTPRC;ARPC2;EPB41L2;TSPAN4;RAC2;SIRPA;ADAM9;SKAP2
MSigDB_Hallmark_2020	p53 Pathway	15/200	1.211704e-01	2.372920e-01	0	0	1.433452e+00	3.025384e+00	FUCA1;OSGIN1;IFI30;SAT1;DEF6;VAMP8;PTPRE;RAP2B;TCN2;MAPKAPK3;GM2A;SESN1;HMOX1;S100A4;CTSD
MSigDB_Hallmark_2020	Bile Acid Metabolism	9/112	1.484843e-01	2.791505e-01	0	0	1.542815e+00	2.942574e+00	CYP27A1;LIPE;NPC1;ACSL1;IDH1;ALDH1A1;ACSL5;HSD17B4;HSD17B11
MSigDB_Hallmark_2020	Hypoxia	14/200	1.895186e-01	3.425913e-01	0	0	1.329371e+00	2.211100e+00	ERO1A;ANXA2;SERPINE1;GLRX;AMPD3;RBPJ;PNRC1;TPST2;SLC6A6;KLF6;NAGK;RRAGD;HMOX1;S100A4
MSigDB_Hallmark_2020	Apical Surface	4/44	2.100871e-01	3.657071e-01	0	0	1.763305e+00	2.751168e+00	LYN;CD160;AKAP7;IL2RG
MSigDB_Hallmark_2020	Interferon Alpha Response	7/97	2.659896e-01	4.383655e-01	0	0	1.371671e+00	1.816501e+00	CSF1;IL15;CCRL2;IRF2;HLA-C;IFI30;B2M
MSigDB_Hallmark_2020	Oxidative Phosphorylation	13/200	2.798078e-01	4.383655e-01	0	0	1.226593e+00	1.562253e+00	ACAA2;ALAS1;IDH1;COX4I1;HCCS;SDHD;ACAT1;MPC1;FDX1;DLAT;SLC25A20;DECR1;ATP6V1F
MSigDB_Hallmark_2020	Glycolysis	13/200	2.798078e-01	4.383655e-01	0	0	1.226593e+00	1.562253e+00	ERO1A;IDH1;AKR1A1;TALDO1;GLRX;TXN;PLOD1;CLN6;GCLC;RRAGD;ME1;ME2;GUSB
MSigDB_Hallmark_2020	Mitotic Spindle	11/199	5.061475e-01	7.313515e-01	0	0	1.030370e+00	7.016071e-01	CCDC88A;FGD4;ARHGAP10;MYO1E;NIN;EPB41L2;MYO9B;RHOF;SSH2;DOCK2;ARHGAP4
MSigDB_Hallmark_2020	Epithelial Mesenchymal Transition	11/200	5.129153e-01	7.313515e-01	0	0	1.024864e+00	6.842446e-01	MFAP5;GLIPR1;DAB2;WIPF1;IL15;FUCA1;SERPINE1;CAPG;PLOD1;SAT1;SNTB1
MSigDB_Hallmark_2020	UV Response Dn	8/144	5.135021e-01	7.313515e-01	0	0	1.035834e+00	6.903847e-01	PTGFR;DAB2;ANXA2;CELF2;SERPINE1;NEK7;PIK3CD;MGLL
MSigDB_Hallmark_2020	TGF-beta Signaling	3/54	5.606594e-01	7.750292e-01	0	0	1.035667e+00	5.992802e-01	IFNGR2;SERPINE1;PPP1CA
MSigDB_Hallmark_2020	Angiogenesis	2/36	5.835620e-01	7.836405e-01	0	0	1.035634e+00	5.577971e-01	LPL;S100A4
MSigDB_Hallmark_2020	Estrogen Response Late	10/200	6.382455e-01	8.332650e-01	0	0	9.258710e-01	4.157459e-01	CYP26B1;OPN3;FABP5;RPS6KA2;ALDH3B1;BLVRB;SNX10;PTPN6;SGK1;GLA
MSigDB_Hallmark_2020	Unfolded Protein Response	5/113	7.329273e-01	9.081476e-01	0	0	8.141658e-01	2.529685e-01	ERO1A;EIF4A1;SPCS3;NABP1;ATP6V0D1
MSigDB_Hallmark_2020	Estrogen Response Early	9/200	7.535693e-01	9.081476e-01	0	0	8.280994e-01	2.342978e-01	FCMR;CYP26B1;OPN3;RPS6KA2;ALDH3B1;SNX24;BLVRB;GLA;DHRS3
MSigDB_Hallmark_2020	KRAS Signaling Dn	9/200	7.535693e-01	9.081476e-01	0	0	8.280994e-01	2.342978e-01	PTGFR;SCN10A;CD40LG;STAG3;SELENOP;PTPRJ;GP1BA;SGK1;SLC29A3
MSigDB_Hallmark_2020	Notch Signaling	1/32	8.295570e-01	9.661901e-01	0	0	5.674896e-01	1.060430e-01	ST3GAL6
MSigDB_Hallmark_2020	Myogenesis	8/200	8.484823e-01	9.661901e-01	0	0	7.315292e-01	1.201947e-01	PRNP;FABP3;RIT1;ACSL1;GPX3;TNNI2;CD36;LSP1
MSigDB_Hallmark_2020	Hedgehog Signaling	1/36	8.634040e-01	9.661901e-01	0	0	5.025273e-01	7.380749e-02	DPYSL2
MSigDB_Hallmark_2020	Wnt-beta Catenin Signaling	1/42	9.020081e-01	9.859158e-01	0	0	4.288504e-01	4.422811e-02	RBPJ
MSigDB_Hallmark_2020	DNA Repair	3/150	9.887376e-01	9.988257e-01	0	0	3.574855e-01	4.048985e-03	SDCBP;HCLS1;GSDME
MSigDB_Hallmark_2020	Spermatogenesis	2/135	9.950965e-01	9.988257e-01	0	0	2.633611e-01	1.294577e-03	TALDO1;ACRBP
MSigDB_Hallmark_2020	E2F Targets	4/200	9.951064e-01	9.988257e-01	0	0	3.568856e-01	1.750752e-03	DCLRE1B;TFRC;DEK;DCK
MSigDB_Hallmark_2020	Myc Targets V1	3/200	9.988257e-01	9.988257e-01	0	0	2.660429e-01	3.126034e-04	EIF4A1;PABPC4;DEK
